asset_id,image_path,family,state,status,scope,generation_order,source_reference,image_instruction,3d_strategy,mesh_output,notes
traps__void__trap_void_active,traps/void/trap_void_active.png,trap_void,active,TO_GENERATE,MVP,13,traps/void/trap_void_reference.png,Same Void trap active: stable black-violet spatial rift with restrained emissive edge.,animated_mesh,models/traps/trap_void.glb,
traps__void__trap_void_collapsed,traps/void/trap_void_collapsed.png,trap_void,collapsed,TO_GENERATE,MVP,14,traps/void/trap_void_reference.png,"Same Void trap after failure: ring cracked/collapsed, rift gone, residual faint violet energy.",variant_mesh,models/traps/trap_void_collapsed.glb,
traps__watcher__trap_watcher_reference,traps/watcher/trap_watcher_reference.png,trap_watcher,reference,TO_GENERATE,MVP,15,,Create the canonical Watcher trap: eerie non-human stone watcher idol integrated on a compact dungeon base; supernatural rather than conventional turret.,animated_mesh,models/traps/trap_watcher.glb,
traps__watcher__trap_watcher_idle,traps/watcher/trap_watcher_idle.png,trap_watcher,idle,TO_GENERATE,MVP,16,traps/watcher/trap_watcher_reference.png,"Same Watcher trap dormant, eye/sensor dim.",animated_mesh,models/traps/trap_watcher.glb,
traps__watcher__trap_watcher_alert,traps/watcher/trap_watcher_alert.png,trap_watcher,alert,TO_GENERATE,MVP,17,traps/watcher/trap_watcher_reference.png,"Same Watcher trap awakened, eye/sensor bright and aimed.",animated_mesh,models/traps/trap_watcher.glb,
traps__watcher__trap_watcher_firing,traps/watcher/trap_watcher_firing.png,trap_watcher,firing,TO_GENERATE,MVP,18,traps/watcher/trap_watcher_reference.png,Same Watcher trap actively projecting a focused violet supernatural beam.,animated_mesh,models/traps/trap_watcher.glb,
traps__watcher__trap_watcher_destroyed,traps/watcher/trap_watcher_destroyed.png,trap_watcher,destroyed,TO_GENERATE,MVP,19,traps/watcher/trap_watcher_reference.png,"Same Watcher trap smashed and disabled, identifiable remains on the same base.",variant_mesh,models/traps/trap_watcher_destroyed.glb,
traps__future__pit__trap_pit_reference,traps/future/pit/trap_pit_reference.png,trap_pit,reference,TO_GENERATE,POST_MVP,20,,"Create the canonical pit trap in the reference state, keeping the same exact design family and the project art direction.",animated_mesh,models/traps/pit/trap_pit.glb,
traps__future__pit__trap_pit_closed,traps/future/pit/trap_pit_closed.png,trap_pit,closed,TO_GENERATE,POST_MVP,21,traps/future/pit/trap_pit_reference.png,"Edit the canonical pit trap in the closed state, keeping the same exact design family and the project art direction.",animated_mesh,models/traps/pit/trap_pit.glb,
traps__future__pit__trap_pit_open,traps/future/pit/trap_pit_open.png,trap_pit,open,TO_GENERATE,POST_MVP,22,traps/future/pit/trap_pit_reference.png,"Edit the canonical pit trap in the open state, keeping the same exact design family and the project art direction.",animated_mesh,models/traps/pit/trap_pit.glb,
traps__future__pit__trap_pit_broken,traps/future/pit/trap_pit_broken.png,trap_pit,broken,TO_GENERATE,POST_MVP,23,traps/future/pit/trap_pit_reference.png,"Edit the canonical pit trap in the broken state, keeping the same exact design family and the project art direction.",variant_mesh,models/traps/pit/trap_pit_broken.glb,
traps__future__boulder__trap_boulder_reference,traps/future/boulder/trap_boulder_reference.png,trap_boulder,reference,TO_GENERATE,POST_MVP,24,,"Create the canonical boulder trap in the reference state, keeping the same exact design family and the project art direction.",animated_mesh,models/traps/boulder/trap_boulder.glb,
traps__future__boulder__trap_boulder_ready,traps/future/boulder/trap_boulder_ready.png,trap_boulder,ready,TO_GENERATE,POST_MVP,25,traps/future/boulder/trap_boulder_reference.png,"Edit the canonical boulder trap in the ready state, keeping the same exact design family and the project art direction.",animated_mesh,models/traps/boulder/trap_boulder.glb,
traps__future__boulder__trap_boulder_rolling,traps/future/boulder/trap_boulder_rolling.png,trap_boulder,rolling,TO_GENERATE,POST_MVP,26,traps/future/boulder/trap_boulder_reference.png,"Edit the canonical boulder trap in the rolling state, keeping the same exact design family and the project art direction.",animated_mesh,models/traps/boulder/trap_boulder.glb,
traps__future__boulder__trap_boulder_broken,traps/future/boulder/trap_boulder_broken.png,trap_boulder,broken,TO_GENERATE,POST_MVP,27,traps/future/boulder/trap_boulder_reference.png,"Edit the canonical boulder trap in the broken state, keeping the same exact design family and the project art direction.",variant_mesh,models/traps/boulder/trap_boulder_broken.glb,
traps__future__arrow__trap_arrow_reference,traps/future/arrow/trap_arrow_reference.png,trap_arrow,reference,TO_GENERATE,POST_MVP,28,,"Create the canonical arrow trap in the reference state, keeping the same exact design family and the project art direction.",animated_mesh,models/traps/arrow/trap_arrow.glb,
traps__future__arrow__trap_arrow_retracted,traps/future/arrow/trap_arrow_retracted.png,trap_arrow,retracted,TO_GENERATE,POST_MVP,29,traps/future/arrow/trap_arrow_reference.png,"Edit the canonical arrow trap in the retracted state, keeping the same exact design family and the project art direction.",animated_mesh,models/traps/arrow/trap_arrow.glb,
traps__future__arrow__trap_arrow_firing,traps/future/arrow/trap_arrow_firing.png,trap_arrow,firing,TO_GENERATE,POST_MVP,30,traps/future/arrow/trap_arrow_reference.png,"Edit the canonical arrow trap in the firing state, keeping the same exact design family and the project art direction.",animated_mesh,models/traps/arrow/trap_arrow.glb,
traps__future__arrow__trap_arrow_broken,traps/future/arrow/trap_arrow_broken.png,trap_arrow,broken,TO_GENERATE,POST_MVP,31,traps/future/arrow/trap_arrow_reference.png,"Edit the canonical arrow trap in the broken state, keeping the same exact design family and the project art direction.",variant_mesh,models/traps/arrow/trap_arrow_broken.glb,
traps__future__flame__trap_flame_reference,traps/future/flame/trap_flame_reference.png,trap_flame,reference,TO_GENERATE,POST_MVP,32,,"Create the canonical flame trap in the reference state, keeping the same exact design family and the project art direction.",animated_mesh,models/traps/flame/trap_flame.glb,
traps__future__flame__trap_flame_inactive,traps/future/flame/trap_flame_inactive.png,trap_flame,inactive,TO_GENERATE,POST_MVP,33,traps/future/flame/trap_flame_reference.png,"Edit the canonical flame trap in the inactive state, keeping the same exact design family and the project art direction.",animated_mesh,models/traps/flame/trap_flame.glb,
traps__future__flame__trap_flame_active,traps/future/flame/trap_flame_active.png,trap_flame,active,TO_GENERATE,POST_MVP,34,traps/future/flame/trap_flame_reference.png,"Edit the canonical flame trap in the active state, keeping the same exact design family and the project art direction.",animated_mesh,models/traps/flame/trap_flame.glb,
traps__future__flame__trap_flame_broken,traps/future/flame/trap_flame_broken.png,trap_flame,broken,TO_GENERATE,POST_MVP,35,traps/future/flame/trap_flame_reference.png,"Edit the canonical flame trap in the broken state, keeping the same exact design family and the project art direction.",variant_mesh,models/traps/flame/trap_flame_broken.glb,
traps__future__ice__trap_ice_reference,traps/future/ice/trap_ice_reference.png,trap_ice,reference,TO_GENERATE,POST_MVP,36,,"Create the canonical ice trap in the reference state, keeping the same exact design family and the project art direction.",animated_mesh,models/traps/ice/trap_ice.glb,
traps__future__ice__trap_ice_inactive,traps/future/ice/trap_ice_inactive.png,trap_ice,inactive,TO_GENERATE,POST_MVP,37,traps/future/ice/trap_ice_reference.png,"Edit the canonical ice trap in the inactive state, keeping the same exact design family and the project art direction.",animated_mesh,models/traps/ice/trap_ice.glb,
traps__future__ice__trap_ice_active,traps/future/ice/trap_ice_active.png,trap_ice,active,TO_GENERATE,POST_MVP,38,traps/future/ice/trap_ice_reference.png,"Edit the canonical ice trap in the active state, keeping the same exact design family and the project art direction.",animated_mesh,models/traps/ice/trap_ice.glb,
traps__future__ice__trap_ice_broken,traps/future/ice/trap_ice_broken.png,trap_ice,broken,TO_GENERATE,POST_MVP,39,traps/future/ice/trap_ice_reference.png,"Edit the canonical ice trap in the broken state, keeping the same exact design family and the project art direction.",variant_mesh,models/traps/ice/trap_ice_broken.glb,
traps__future__acid__trap_acid_reference,traps/future/acid/trap_acid_reference.png,trap_acid,reference,TO_GENERATE,POST_MVP,40,,"Create the canonical acid trap in the reference state, keeping the same exact design family and the project art direction.",animated_mesh,models/traps/acid/trap_acid.glb,
traps__future__acid__trap_acid_inactive,traps/future/acid/trap_acid_inactive.png,trap_acid,inactive,TO_GENERATE,POST_MVP,41,traps/future/acid/trap_acid_reference.png,"Edit the canonical acid trap in the inactive state, keeping the same exact design family and the project art direction.",animated_mesh,models/traps/acid/trap_acid.glb,
traps__future__acid__trap_acid_active,traps/future/acid/trap_acid_active.png,trap_acid,active,TO_GENERATE,POST_MVP,42,traps/future/acid/trap_acid_reference.png,"Edit the canonical acid trap in the active state, keeping the same exact design family and the project art direction.",animated_mesh,models/traps/acid/trap_acid.glb,
traps__future__acid__trap_acid_broken,traps/future/acid/trap_acid_broken.png,trap_acid,broken,TO_GENERATE,POST_MVP,43,traps/future/acid/trap_acid_reference.png,"Edit the canonical acid trap in the broken state, keeping the same exact design family and the project art direction.",variant_mesh,models/traps/acid/trap_acid_broken.glb,
doors__reinforced__door_reinforced_reference,doors/reinforced/door_reinforced_reference.png,door_reinforced,reference,TO_GENERATE,POST_MVP,44,,"Create canonical heavier reinforced dungeon door, thicker bands and braces.",shared_hinged_mesh,models/doors/door_reinforced.glb,
doors__reinforced__door_reinforced_closed,doors/reinforced/door_reinforced_closed.png,door_reinforced,closed,TO_GENERATE,POST_MVP,45,doors/reinforced/door_reinforced_reference.png,"Edit the canonical reinforced door into the closed state; preserve exact frame, materials, ornaments and proportions.",shared_hinged_mesh,models/doors/door_reinforced.glb,
doors__reinforced__door_reinforced_open,doors/reinforced/door_reinforced_open.png,door_reinforced,open,TO_GENERATE,POST_MVP,46,doors/reinforced/door_reinforced_reference.png,"Edit the canonical reinforced door into the open state; preserve exact frame, materials, ornaments and proportions.",shared_hinged_mesh,models/doors/door_reinforced.glb,
doors__reinforced__door_reinforced_damaged,doors/reinforced/door_reinforced_damaged.png,door_reinforced,damaged,TO_GENERATE,POST_MVP,47,doors/reinforced/door_reinforced_reference.png,"Edit the canonical reinforced door into the damaged state; preserve exact frame, materials, ornaments and proportions.",variant_mesh,models/doors/door_reinforced_damaged.glb,
doors__reinforced__door_reinforced_destroyed,doors/reinforced/door_reinforced_destroyed.png,door_reinforced,destroyed,TO_GENERATE,POST_MVP,48,doors/reinforced/door_reinforced_reference.png,"Edit the canonical reinforced door into the destroyed state; preserve exact frame, materials, ornaments and proportions.",variant_mesh,models/doors/door_reinforced_destroyed.glb,
doors__locked__door_locked_reference,doors/locked/door_locked_reference.png,door_locked,reference,TO_GENERATE,POST_MVP,49,,Create canonical locked dungeon door with readable mechanical lock/lockplate for Thief interaction.,shared_hinged_mesh,models/doors/door_locked.glb,
doors__locked__door_locked_closed,doors/locked/door_locked_closed.png,door_locked,closed,TO_GENERATE,POST_MVP,50,doors/locked/door_locked_reference.png,"Edit the canonical locked door into the closed state; preserve exact frame, materials, ornaments and proportions.",shared_hinged_mesh,models/doors/door_locked.glb,
doors__locked__door_locked_open,doors/locked/door_locked_open.png,door_locked,open,TO_GENERATE,POST_MVP,51,doors/locked/door_locked_reference.png,"Edit the canonical locked door into the open state; preserve exact frame, materials, ornaments and proportions.",shared_hinged_mesh,models/doors/door_locked.glb,
doors__locked__door_locked_damaged,doors/locked/door_locked_damaged.png,door_locked,damaged,TO_GENERATE,POST_MVP,52,doors/locked/door_locked_reference.png,"Edit the canonical locked door into the damaged state; preserve exact frame, materials, ornaments and proportions.",variant_mesh,models/doors/door_locked_damaged.glb,
doors__locked__door_locked_destroyed,doors/locked/door_locked_destroyed.png,door_locked,destroyed,TO_GENERATE,POST_MVP,53,doors/locked/door_locked_reference.png,"Edit the canonical locked door into the destroyed state; preserve exact frame, materials, ornaments and proportions.",variant_mesh,models/doors/door_locked_destroyed.glb,
doors__trapped__door_trapped_reference,doors/trapped/door_trapped_reference.png,door_trapped,reference,TO_GENERATE,POST_MVP,54,,"Create canonical door with integrated supernatural trap cues, still readable as the same doorway.",shared_hinged_mesh,models/doors/door_trapped.glb,
doors__trapped__door_trapped_closed,doors/trapped/door_trapped_closed.png,door_trapped,closed,TO_GENERATE,POST_MVP,55,doors/trapped/door_trapped_reference.png,"Edit the canonical trapped door into the closed state; preserve exact frame, materials, ornaments and proportions.",shared_hinged_mesh,models/doors/door_trapped.glb,
doors__trapped__door_trapped_open,doors/trapped/door_trapped_open.png,door_trapped,open,TO_GENERATE,POST_MVP,56,doors/trapped/door_trapped_reference.png,"Edit the canonical trapped door into the open state; preserve exact frame, materials, ornaments and proportions.",shared_hinged_mesh,models/doors/door_trapped.glb,
doors__trapped__door_trapped_damaged,doors/trapped/door_trapped_damaged.png,door_trapped,damaged,TO_GENERATE,POST_MVP,57,doors/trapped/door_trapped_reference.png,"Edit the canonical trapped door into the damaged state; preserve exact frame, materials, ornaments and proportions.",variant_mesh,models/doors/door_trapped_damaged.glb,
doors__trapped__door_trapped_destroyed,doors/trapped/door_trapped_destroyed.png,door_trapped,destroyed,TO_GENERATE,POST_MVP,58,doors/trapped/door_trapped_reference.png,"Edit the canonical trapped door into the destroyed state; preserve exact frame, materials, ornaments and proportions.",variant_mesh,models/doors/door_trapped_destroyed.glb,
doors__magic_sealed__door_magic_sealed_reference,doors/magic_sealed/door_magic_sealed_reference.png,door_magic_sealed,reference,TO_GENERATE,POST_MVP,59,,"Create canonical magically sealed door with restrained violet runic seal, not a glowing wall of purple.",shared_hinged_mesh,models/doors/door_magic_sealed.glb,
doors__magic_sealed__door_magic_sealed_closed,doors/magic_sealed/door_magic_sealed_closed.png,door_magic_sealed,closed,TO_GENERATE,POST_MVP,60,doors/magic_sealed/door_magic_sealed_reference.png,"Edit the canonical magic_sealed door into the closed state; preserve exact frame, materials, ornaments and proportions.",shared_hinged_mesh,models/doors/door_magic_sealed.glb,
doors__magic_sealed__door_magic_sealed_open,doors/magic_sealed/door_magic_sealed_open.png,door_magic_sealed,open,TO_GENERATE,POST_MVP,61,doors/magic_sealed/door_magic_sealed_reference.png,"Edit the canonical magic_sealed door into the open state; preserve exact frame, materials, ornaments and proportions.",shared_hinged_mesh,models/doors/door_magic_sealed.glb,
doors__magic_sealed__door_magic_sealed_damaged,doors/magic_sealed/door_magic_sealed_damaged.png,door_magic_sealed,damaged,TO_GENERATE,POST_MVP,62,doors/magic_sealed/door_magic_sealed_reference.png,"Edit the canonical magic_sealed door into the damaged state; preserve exact frame, materials, ornaments and proportions.",variant_mesh,models/doors/door_magic_sealed_damaged.glb,
doors__magic_sealed__door_magic_sealed_destroyed,doors/magic_sealed/door_magic_sealed_destroyed.png,door_magic_sealed,destroyed,TO_GENERATE,POST_MVP,63,doors/magic_sealed/door_magic_sealed_reference.png,"Edit the canonical magic_sealed door into the destroyed state; preserve exact frame, materials, ornaments and proportions.",variant_mesh,models/doors/door_magic_sealed_destroyed.glb,
storage__cache__cache_reference,storage/cache/cache_reference.png,cache,reference,TO_GENERATE,MVP,64,,"Create canonical compact secure cache structure; practical, low-profile, supernatural dungeon ownership cues.",shared_mesh_plus_contents,models/storage/cache.glb,
storage__cache__cache_empty,storage/cache/cache_empty.png,cache,empty,TO_GENERATE,MVP,65,storage/cache/cache_reference.png,Edit the same canonical cache into the empty state. Keep structure identical; only contents/damage may change.,shared_mesh_plus_contents,models/storage/cache.glb,
storage__cache__cache_partially_filled,storage/cache/cache_partially_filled.png,cache,partially_filled,TO_GENERATE,MVP,66,storage/cache/cache_reference.png,Edit the same canonical cache into the partially_filled state. Keep structure identical; only contents/damage may change.,shared_mesh_plus_contents,models/storage/cache.glb,
storage__cache__cache_full,storage/cache/cache_full.png,cache,full,TO_GENERATE,MVP,67,storage/cache/cache_reference.png,Edit the same canonical cache into the full state. Keep structure identical; only contents/damage may change.,shared_mesh_plus_contents,models/storage/cache.glb,
storage__cache__cache_destroyed,storage/cache/cache_destroyed.png,cache,destroyed,TO_GENERATE,MVP,68,storage/cache/cache_reference.png,Edit the same canonical cache into the destroyed state. Keep structure identical; only contents/damage may change.,variant_mesh,models/storage/cache_destroyed.glb,
storage__reliquary__reliquary_reference,storage/reliquary/reliquary_reference.png,reliquary,reference,TO_GENERATE,POST_MVP,69,,Create canonical ornate reliquary for rare relics; restrained gold/brass and violet accents.,shared_mesh_plus_contents,models/storage/reliquary.glb,
storage__reliquary__reliquary_empty,storage/reliquary/reliquary_empty.png,reliquary,empty,TO_GENERATE,POST_MVP,70,storage/reliquary/reliquary_reference.png,Edit the same canonical reliquary into the empty state. Keep structure identical; only contents/damage may change.,shared_mesh_plus_contents,models/storage/reliquary.glb,
storage__reliquary__reliquary_partially_filled,storage/reliquary/reliquary_partially_filled.png,reliquary,partially_filled,TO_GENERATE,POST_MVP,71,storage/reliquary/reliquary_reference.png,Edit the same canonical reliquary into the partially_filled state. Keep structure identical; only contents/damage may change.,shared_mesh_plus_contents,models/storage/reliquary.glb,
storage__reliquary__reliquary_full,storage/reliquary/reliquary_full.png,reliquary,full,TO_GENERATE,POST_MVP,72,storage/reliquary/reliquary_reference.png,Edit the same canonical reliquary into the full state. Keep structure identical; only contents/damage may change.,shared_mesh_plus_contents,models/storage/reliquary.glb,
storage__reliquary__reliquary_destroyed,storage/reliquary/reliquary_destroyed.png,reliquary,destroyed,TO_GENERATE,POST_MVP,73,storage/reliquary/reliquary_reference.png,Edit the same canonical reliquary into the destroyed state. Keep structure identical; only contents/damage may change.,variant_mesh,models/storage/reliquary_destroyed.glb,
storage__vault__vault_reference,storage/vault/vault_reference.png,vault,reference,TO_GENERATE,POST_MVP,74,,"Create canonical larger dedicated vault storage structure, distinct from the portable chest.",shared_mesh_plus_contents,models/storage/vault.glb,
storage__vault__vault_empty,storage/vault/vault_empty.png,vault,empty,TO_GENERATE,POST_MVP,75,storage/vault/vault_reference.png,Edit the same canonical vault into the empty state. Keep structure identical; only contents/damage may change.,shared_mesh_plus_contents,models/storage/vault.glb,
storage__vault__vault_partially_filled,storage/vault/vault_partially_filled.png,vault,partially_filled,TO_GENERATE,POST_MVP,76,storage/vault/vault_reference.png,Edit the same canonical vault into the partially_filled state. Keep structure identical; only contents/damage may change.,shared_mesh_plus_contents,models/storage/vault.glb,
storage__vault__vault_full,storage/vault/vault_full.png,vault,full,TO_GENERATE,POST_MVP,77,storage/vault/vault_reference.png,Edit the same canonical vault into the full state. Keep structure identical; only contents/damage may change.,shared_mesh_plus_contents,models/storage/vault.glb,
storage__vault__vault_destroyed,storage/vault/vault_destroyed.png,vault,destroyed,TO_GENERATE,POST_MVP,78,storage/vault/vault_reference.png,Edit the same canonical vault into the destroyed state. Keep structure identical; only contents/damage may change.,variant_mesh,models/storage/vault_destroyed.glb,
structures__expansion_sanctuary__expansion_sanctuary_reference,structures/expansion_sanctuary/expansion_sanctuary_reference.png,expansion_sanctuary,reference,TO_GENERATE,POST_MVP,79,,"Create the canonical Expansion Sanctuary: a special ritual/research structure used to found a new dungeon; supernatural, architectural, not a generic altar.",static_mesh_plus_vfx,models/structures/expansion_sanctuary.glb,
structures__expansion_sanctuary__expansion_sanctuary_idle,structures/expansion_sanctuary/expansion_sanctuary_idle.png,expansion_sanctuary,idle,TO_GENERATE,POST_MVP,80,structures/expansion_sanctuary/expansion_sanctuary_reference.png,Same Expansion Sanctuary dormant and intact.,static_mesh_plus_vfx,models/structures/expansion_sanctuary.glb,
structures__expansion_sanctuary__expansion_sanctuary_researching,structures/expansion_sanctuary/expansion_sanctuary_researching.png,expansion_sanctuary,researching,TO_GENERATE,POST_MVP,81,structures/expansion_sanctuary/expansion_sanctuary_reference.png,"Same Expansion Sanctuary actively performing the expansion ritual/research, with focused violet energy.",static_mesh_plus_vfx,models/structures/expansion_sanctuary.glb,
structures__expansion_sanctuary__expansion_sanctuary_interrupted,structures/expansion_sanctuary/expansion_sanctuary_interrupted.png,expansion_sanctuary,interrupted,TO_GENERATE,POST_MVP,82,structures/expansion_sanctuary/expansion_sanctuary_reference.png,Same Expansion Sanctuary visibly interrupted/damaged but still recognizable.,variant_mesh,models/structures/expansion_sanctuary_interrupted.glb,
structures__expansion_sanctuary__expansion_sanctuary_destroyed,structures/expansion_sanctuary/expansion_sanctuary_destroyed.png,expansion_sanctuary,destroyed,TO_GENERATE,POST_MVP,83,structures/expansion_sanctuary/expansion_sanctuary_reference.png,Same Expansion Sanctuary destroyed and unusable.,variant_mesh,models/structures/expansion_sanctuary_destroyed.glb,
environment__modules__floor_tile_uncontrolled,environment/modules/floor_tile_uncontrolled.png,floor_tile_uncontrolled,reference,TO_GENERATE,MVP,84,,Create one isolated modular environment asset: natural cool-gray irregular dungeon rock floor tile. Tile-friendly silhouette where applicable; no surrounding room.,modular_static_mesh,models/environment/floor_tile_uncontrolled.glb,
environment__modules__floor_tile_controlled,environment/modules/floor_tile_controlled.png,floor_tile_controlled,reference,TO_GENERATE,MVP,85,,"Create one isolated modular environment asset: controlled dungeon floor tile, darker and subtly ordered with restrained violet mineral/root veins. Tile-friendly silhouette where applicable; no surrounding room.",modular_static_mesh,models/environment/floor_tile_controlled.glb,
environment__modules__floor_tile_strong_influence,environment/modules/floor_tile_strong_influence.png,floor_tile_strong_influence,reference,TO_GENERATE,MVP,86,,Create one isolated modular environment asset: strongly influenced floor tile with subtle impossible geometry and brighter but restrained supernatural seams. Tile-friendly silhouette where applicable; no surrounding room.,modular_static_mesh,models/environment/floor_tile_strong_influence.glb,
